SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generated Description	Current Feature ID	Current Feature Name	Action to be taken	Feature Alignment	Updated Description (If needed)	Updates to rule logic (If needed)	Notes	Required changes	Progress
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill proficiencies	skill_proficiences		Checks whether skill proficiency tracking is configured for Skill Assessments when role skills are enabled in Career Hub.<br><br><h5>Impact of Failure</h5>Without this configuration, tracking employee proficiency in role-related skills during assessments will not function, reducing upskilling effectiveness.	**Purpose:** Ensures skill proficiency levels are configured for Skill Assessments in Career Hub. Proficiency levels (e.g., Beginner, Intermediate, Advanced, Expert) allow employees and managers to track competency progression over time.<br><br>**Impact:** Without proficiency configuration, skill assessments cannot measure or track competency levels, making it impossible to identify skill gaps or measure upskilling progress.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Skill Assessments. Enable proficiency tracking and configure the proficiency scale (typically 4-5 levels). Ensure proficiency levels are mapped to your organization's competency framework.	skill_assessments_v2_with_role_skills	Skill Assessments v2 with role skills enabled	Update	Assessments 2.0				Alignment	Need More Info
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill assessments	profile_page_skill_assessments		Checks whether Skill Assessments are configured on the employee profile page, enabling direct access for employees to complete assessments aligned with role skills.<br><br><h5>Impact of Failure</h5>If not configured, employees will not see Skill Assessments on their profiles, reducing participation and tracking.	**Purpose:** Validates that the Skill Assessments tab is configured on the employee profile page, providing a dedicated location for employees to view and complete their skill assessments.<br><br>**Impact:** If not configured, employees must navigate elsewhere to access assessments, reducing visibility and participation rates. This can significantly impact upskilling program adoption.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Profile Page Configuration. Add 'skill_assessments' to the profile page tabs. Verify the tab appears in the employee's profile navigation.	skill_assessments_v2_with_role_skills	Skill Assessments v2 with role skills enabled	Update	Assessments 2.0				Alignment	Need More Info
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill proficiencies	skill_proficiences		Checks whether skill proficiency configurations are enabled for Skill Assessments within Career Hub, ensuring proper tracking of skill assessment behaviors.<br><br><h5>Impact of Failure</h5>If not configured, skill proficiency tracking during assessments will not function, impacting employee skill profiling and progress tracking.	**Purpose:** Ensures skill proficiency levels are configured for Skill Assessments in Career Hub. Proficiency levels (e.g., Beginner, Intermediate, Advanced, Expert) allow employees and managers to track competency progression over time.<br><br>**Impact:** Without proficiency configuration, skill assessments cannot measure or track competency levels, making it impossible to identify skill gaps or measure upskilling progress.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Skill Assessments. Enable proficiency tracking and configure the proficiency scale (typically 4-5 levels). Ensure proficiency levels are mapped to your organization's competency framework.	skill_assessments_v2	Skill Assessments v2	Update	Assessments 2.0				Alignment	Partial Complete
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill assessments	profile_page_skill_assessments		Checks whether Skill Assessments are configured within the profile page layout, enabling employees to access and complete assessments directly from their profile.<br><br><h5>Impact of Failure</h5>Without this configuration, employees will not see or access Skill Assessments from their profile, limiting skill tracking and upskilling workflows.	**Purpose:** Validates that the Skill Assessments tab is configured on the employee profile page, providing a dedicated location for employees to view and complete their skill assessments.<br><br>**Impact:** If not configured, employees must navigate elsewhere to access assessments, reducing visibility and participation rates. This can significantly impact upskilling program adoption.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Profile Page Configuration. Add 'skill_assessments' to the profile page tabs. Verify the tab appears in the employee's profile navigation.	skill_assessments_v2	Skill Assessments v2	Update	Assessments 2.0				Alignment	Partial Complete
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill assessment access check enabled	skill_assessment_default_access		Checks whether access checks for Skill Assessments are enabled in Career Hub, allowing controlled access to assessment workflows.<br><br><h5>Impact of Failure</h5>Without this configuration, skill assessments may not respect access rules, leading to inconsistent user experience.	**Purpose:** Ensures access control is properly configured for Skill Assessments, determining who can view, request, and complete assessments based on organizational hierarchy and role.<br><br>**Impact:** Without proper access configuration, assessments may not respect organizational boundaries, or employees may be unable to access assessments assigned to them.<br><br>**To Fix:** Configure access rules in Admin Console → Talent Management → Skill Assessments → Access Control. Set permissions for employee self-assessment, manager-initiated assessments, and HRBP oversight.	skill_assessments_v2	Skill Assessments v2	Update	Assessments 2.0					Partial Complete
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Skill assessment access check enabled	skill_assessment_default_access		Checks whether access checks for Skill Assessments are enabled when role skills are configured, ensuring assessments respect access control and role-based workflows.<br><br><h5>Impact of Failure</h5>Without this configuration, assessments may bypass access control, leading to inconsistencies in who can access skill assessments.	**Purpose:** Ensures access control is properly configured for Skill Assessments, determining who can view, request, and complete assessments based on organizational hierarchy and role.<br><br>**Impact:** Without proper access configuration, assessments may not respect organizational boundaries, or employees may be unable to access assessments assigned to them.<br><br>**To Fix:** Configure access rules in Admin Console → Talent Management → Skill Assessments → Access Control. Set permissions for employee self-assessment, manager-initiated assessments, and HRBP oversight.	skill_assessments_v2_with_role_skills	Skill Assessments v2 with role skills enabled	Update	Assessments 2.0	Checks whether access checks for Skill Assessments are enabled when role skills are configured, ensuring assessments respect access control and role-based workflows.<br><br><h5>Impact of Failure</h5>Without this configuration, assessments may bypass access control, leading to role skills not appearing				Need More Info
Talent Managment Leader Experience Add-on	Talent Management -Leader Experience	Employee Engagement Enabled	employee_engagement_enabled		Checks whether employee engagement tracking is enabled in Career Hub when using Skill Assessments with role skills, allowing for monitoring and improvement of employee participation in upskilling workflows.<br><br><h5>Impact of Failure</h5>If not enabled, engagement tracking will not function, reducing visibility into employee participation in skill development.	**Purpose:** Validates that employee engagement tracking is enabled in Career Hub, allowing the platform to measure and report on employee participation in development activities like upskilling, career planning, and skill assessments.<br><br>**Impact:** Without engagement tracking, organizations cannot measure adoption of TM features, identify disengaged employees, or demonstrate ROI of talent management initiatives.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub Base Config. Set 'employee_engagement_enabled' to true. Configure engagement metrics to track (logins, course completions, skill updates, etc.).	skill_assessments_v2_with_role_skills	Skill Assessments v2 with role skills enabled	Update	Assessments 2.0	Checks whether employee engagement tracking is enabled in Career Hub when using Skill Assessments with role skills, allowing for monitoring and improvement of employee participation in skill development.<br><br><h5>Impact of Failure</h5>If not enabled, engagement tracking will not function, reducing visibility into employee participation in skill development.				Need More Info
Talent Managment Core	Talent Management - Core	Upskilling tab exists under own profile page	upskilling_display_config		Checks whether the Upskilling tab is configured to appear under the employee's own profile page, enabling employees to view and manage upskilling plans within Career Hub.<br><br><h5>Impact of Failure</h5>If not configured, employees will not see the Upskilling tab, reducing visibility into upskilling opportunities.	**Purpose:** Ensures the Upskilling tab is visible on the employee profile page, providing access to upskilling plans, recommended courses, and skill development activities.<br><br>**Impact:** If missing, employees cannot view or manage their upskilling plans from their profile, reducing engagement with learning and development initiatives.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Profile Page. Add 'upskilling' to the tabs configuration. For org-led upskilling, also verify template management is accessible to HRBPs/Talent Admins.	upskilling	Upskilling	Update	Skills Development				alignment	Partial Complete
Talent Managment Core	Talent Management - Core	Profile skills quality	profile_skills_quality		Checks whether at least 75% of employee profiles have at least one skill added, ensuring profiles are enriched for recommendations and skill-based workflows.<br><br><h5>Impact of Failure</h5>Insufficient skills on profiles will reduce the effectiveness of recommendations and insights across Talent Management modules.	**Purpose:** Measures the percentage of employee profiles with at least one skill added. Target threshold: 75% of profiles should have skills.<br><br>**Impact:** Low skill coverage reduces the effectiveness of AI-powered matching, job recommendations, and skill-based analytics. Career Navigator and succession planning depend on skill data.<br><br>**To Fix:** Encourage employees to add skills via Profile Assistant. Use bulk skill import from HRIS. Enable skill inference from job titles and experience. Run engagement campaigns to improve profile completeness.	employee_skills_dashboard	Employee Skills Dashboard	Update	Core Talent Management (Employee Profiles and Career Hub homepage)					Partial Complete
Talent Managment Core	Talent Management - Core	Recommended Jobs	recommended_jobs_filter_list		Ensures the filter list for recommended jobs in Career Hub is configured. This feed shows jobs personalized for the employee based on their profile and preferences.<br><br><h5>Impact of Failure</h5>If not configured, employees may receive irrelevant job recommendations, reducing engagement with the Career Hub.	**Purpose:** Validates that the filter list for recommended jobs is configured, ensuring personalized job recommendations on the Career Hub home page.<br><br>**Impact:** Without filter configuration, job recommendations may be irrelevant or missing entirely.<br><br>**To Fix:** Navigate to Admin Console → Talent Management → Career Hub → Feeds. Configure recommended_jobs with appropriate filters.	recommendation_feeds	Recommendation Feeds	Update	Core Talent Management (Employee Profiles and Career Hub homepage)					Partial Complete
