SKU	Product Area	Feature Alignment	Rule Name	Rule ID	Config Reference	Description	Impact	Current Feature Name	Current Feature ID	Action	Notes
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Recaptcha	pcsx_recaptcha		This rule checks if recaptcha_enabled is set to true. This ensures that only real users can submit applications in PCS.	If not enabled (default is false), it will not be possible to differentiate between human user and bot activity on PCS applications.	Security in PCS	security	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Privacy Policy	pcsx_privacy		This rule checks if a privacy policy is configured in PCS.	There will be no custom privacy policy shown in PCS.	Security in PCS	security	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Company Logo Configured	pcs_logo_configured_cs	Go to integrations/branding_config and: 1. Upload company logo 2. Verify logo URL is valid 3. Ensure logo displays correctly on career site	Ensures that company logo is uploaded and configured. Logo URL must be a valid URL format and not empty or placeholder.	Career site will display without company logo, impacting brand recognition.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	White labeled domain	domain_whitelabeling_alias_exists		This rule checks if customer domain is white labeled.		Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Brand Colors Configured	pcs_colors_configured_cs	Go to integrations/branding_config and configure: 1. Primary color (valid hex format: #RRGGBB) 2. Secondary color 3. Preview changes on career site	Ensures that brand colors are configured with valid hex color codes (e.g., #146da6). Empty or invalid color codes will cause styling issues.	Career site will use default colors instead of brand colors.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	PCS Mobile Responsive Configuration	pcs_mobil_config_cj	Go to integrations/career_hub_base_config > product_configs > employee and verify mobile configurations	Ensures that mobile-specific configurations like hero images, banners, and layouts are correctly defined using device_configuration settings and display properly on mobile devices.	Mobile users may see blank spaces instead of images, broken layouts, or desktop-sized content that doesn't fit mobile screens.			New/Add	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Valid company name	pcsx_valid_company_name		Ensures a valid company name is configured, maintaining professional branding on the PCS.	Proper branding builds trust and credibility among candidates.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Navbar logo	pcsx_navbar_logo		Confirms a company logo is uploaded to the navigation bar, reinforcing the brand identity across PCS.	A consistent logo improves the professional appearance of PCS and fosters user trust.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Favicons	pcsx_favicons		This rule checks if favicons are configured.	The site will not have a favicon.	Basic PCS	smart_apply	Update	
Talent Acquisition Candidate Experience Add-on	Talent Acquisition - PCS	Branding	Company logo	pcsx_company_logo		This rule ensures a company logo URL is configured in PCSX branding and used as the default social/share image to maintain consistent employer branding across the careers site.	Missing or generic imagery in link previews and pages reduces brand trust and click-through.	Basic PCS	smart_apply	Update	
