SKU	Product Area	Rule Name	Rule ID	Config Reference	Description	Cursor Generate Description	Current Feature ID	Current Feature Name	Action to be taken	New Feature Alignment	Updates to rule logic (If needed)
Talent Intelligence Platform	AI	More than {{ metric_data_json.min_threshold }}% internal positions must be calibrated	internal_positions_calibrated_rule	Position calibration / calibration_config	Ensure that all open positions are calibrated to allow candidates/employees to receive relevant job recommendations <br><br><h5> Impact of failure</h5>. Missing calbiration may lead to job recommendations that are not aligned with an candidate / employee's experience and background reducing relevance and quality of Matches		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have a location	internal_positions_with_location_rule	Position Sync (ATS) → position.location	Ensure that all open positions have a location assigned to allow employees to receive relevant job recommendations based on geographic preferences. <br><br><h5> Impact of failure</h5>. Missing location data may lead to job recommendations that are not aligned with an employee's preferred or eligible locations, reducing relevance and quality of Matches		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have skills	internal_positions_with_skills_rule	Position calibration → skills / AI inference	Ensure that positions have at least one skill assigned to support relevant job recommendations based on employee skill sets. <br><br><h5> Impact of failure</h5>. Without any skills assigned, the system cannot accurately match employees to roles, resulting in low-quality or irrelevant recommendations.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have more than 3 skills	internal_positions_with_multiple_skills_rule	#N/A	Ensure that all open positions have atleast 3 skills assigned to enable more precise and high-quality job recommendations. <br><br><h5> Impact of failure</h5>. Inadequate skill tagging can reduce the accuracy of recommendations and hinder the system's ability to distinguish between relevant and irrelevant  matches.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have job bands that are defined in internal job posting (IJP) config	internal_positions_with_job_band_rule	#N/A	Ensure that positions have a job band assigned to enable relevant job recommendations based on seniority alignment. <br><br><h5> Impact of failure</h5>. Missing job band data can result in mismatches between job seniority and employee experience, reducing recommendation effectiveness.		internal_mobility_recommendations	Internal Mobility Recommendations	Keep as is	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have level defined in ijp_config	claimed_employee_profiles_with_levels	Employee Sync (HRIS) → employee.level	Ensure that employee profiles have a job level assigned to enable job recommendations aligned with the employee's seniority. <br><br><h5> Impact of failure</h5>. Recommendations may be too junior or senior for the employee's current position, reducing their usefulness and relevance. Additionally missing job level information prevents the system from aligning employees with mentors at the appropriate seniority level, leading to mismatches and reduced mentoring impact.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have skills	claimed_employee_profiles_with_skills	Employee profile → skills	Ensure that employee profiles include skills to support relevant job/course recommendations based on capabilities and expertise. <br><br><h5> Impact of failure</h5>. Absence of skill data can lead to generic or irrelevant recommendations that don't reflect the employee's abilities.		internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have more than 3 skills	projects_with_multiple_skills_rule	Project definition → skills	Ensure that projects have atleast 3 relevant skills assigned to enable accurate and high-quality employee matches. <br><br><h5> Impact of failure</h5>. Limited skill data on projects can reduce matching precision, leading to inefficient resource allocation.		project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	specific about the number of skills
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have ideal candidates	projects_with_ideal_candidates_rule	Project calibration → ideal_candidates	Ensure that projects have at least three ideal candidate assigned to improve the quality of employee matching. <br><br><h5> Impact of failure</h5>. Without an ideal candidate reference, matching may not reflect actual expectations for the role.		project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	logic update: Instead of one ideal candidate make it three
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have location	projects_with_location_rule	Project definition → location	Ensure that projects have a location assigned to support relevant employee matches based on geography. <br><br><h5> Impact of failure</h5>. Employees may be recommended for projects in unsuitable locations, impacting assignment success.		project_lead_recommendations	Project Lead Recommendations	Keep as is	Project Lead Recommendations	
