SKU	Product Area	Rule Name	Rule ID	Config Reference	Original Description	Cursor Generated Description	Code Reference	Current Feature ID	Current Feature Name	Action	New Feature Alignment	Updates to rule logic
Talent Intelligence Platform	AI	More than {{ metric_data_json.min_threshold }}% internal positions must be calibrated	internal_positions_calibrated_rule	Position calibration / calibration_config	Ensure that all open positions are calibrated to allow candidates/employees to receive relevant job recommendations <br><br><h5> Impact of failure</h5>. Missing calbiration may lead to job recommendations that are not aligned with an candidate / employee's experience and background reducing relevance and quality of Matches	"**Purpose:** Ensure that all open positions are calibrated to allow candidates/employees to receive relevant job recommendations   . Missing calbiration may lead to job recommendations that are not aligned with an candidate / employee's experience and background reducing relevance and quality of Matches

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Navigate to each open position and complete the calibration process by adding ideal candidates and adjusting skill requirements."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have a location	internal_positions_with_location_rule	Position Sync (ATS) → position.location	Ensure that all open positions have a location assigned to allow employees to receive relevant job recommendations based on geographic preferences. <br><br><h5> Impact of failure</h5>. Missing location data may lead to job recommendations that are not aligned with an employee's preferred or eligible locations, reducing relevance and quality of Matches	"**Purpose:** Ensure that all open positions have a location assigned to allow employees to receive relevant job recommendations based on geographic preferences.   . Missing location data may lead to job recommendations that are not aligned with an employee's preferred or eligible locations, reducing relevance and quality of Matches

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Ensure positions have location data in the ATS. Check Position Sync mappings and verify location field is correctly mapped."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have skills	internal_positions_with_skills_rule	Position calibration → skills / AI inference	Ensure that positions have at least one skill assigned to support relevant job recommendations based on employee skill sets. <br><br><h5> Impact of failure</h5>. Without any skills assigned, the system cannot accurately match employees to roles, resulting in low-quality or irrelevant recommendations.	"**Purpose:** Ensure that positions have at least one skill assigned to support relevant job recommendations based on employee skill sets.   . Without any skills assigned, the system cannot accurately match employees to roles, resulting in low-quality or irrelevant recommendations.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Calibrate positions by adding skills manually or enable AI skill inference. Verify calibration_config settings."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have more than 3 skills	internal_positions_with_multiple_skills_rule	Position calibration → skills (minimum 3 required)	Ensure that all open positions have atleast 3 skills assigned to enable more precise and high-quality job recommendations. <br><br><h5> Impact of failure</h5>. Inadequate skill tagging can reduce the accuracy of recommendations and hinder the system's ability to distinguish between relevant and irrelevant  matches.	"**Purpose:** Ensure that all open positions have atleast 3 skills assigned to enable more precise and high-quality job recommendations.   . Inadequate skill tagging can reduce the accuracy of recommendations and hinder the system's ability to distinguish between relevant and irrelevant  matches.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Review position calibration to ensure at least 3 skills are assigned to each position for accurate matching."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% internal positions must have job bands that are defined in internal job posting (IJP) config	internal_positions_with_job_band_rule	ijp_config → job_bands / position.hiring_band	Ensure that positions have a job band assigned to enable relevant job recommendations based on seniority alignment. <br><br><h5> Impact of failure</h5>. Missing job band data can result in mismatches between job seniority and employee experience, reducing recommendation effectiveness.	"**Purpose:** Ensure that positions have a job band assigned to enable relevant job recommendations based on seniority alignment.   . Missing job band data can result in mismatches between job seniority and employee experience, reducing recommendation effectiveness.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Configure job bands in ijp_config and ensure positions have hiring_band populated in the ATS integration."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Keep as is	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have level defined in ijp_config	claimed_employee_profiles_with_levels	Employee Sync (HRIS) → employee.level	Ensure that employee profiles have a job level assigned to enable job recommendations aligned with the employee's seniority. <br><br><h5> Impact of failure</h5>. Recommendations may be too junior or senior for the employee's current position, reducing their usefulness and relevance. Additionally missing job level information prevents the system from aligning employees with mentors at the appropriate seniority level, leading to mismatches and reduced mentoring impact.	"**Purpose:** Ensure that employee profiles have a job level assigned to enable job recommendations aligned with the employee's seniority.   . Recommendations may be too junior or senior for the employee's current position, reducing their usefulness and relevance. Additionally missing job level information prevents the system from aligning employees with mentors at the appropriate seniority level, leading to mismatches and reduced mentoring impact.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Verify employee level data is synced from HRIS. Configure level mappings in ijp_config → job_bands."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% claimed employee profiles must have skills	claimed_employee_profiles_with_skills	Employee profile → skills	Ensure that employee profiles include skills to support relevant job/course recommendations based on capabilities and expertise. <br><br><h5> Impact of failure</h5>. Absence of skill data can lead to generic or irrelevant recommendations that don't reflect the employee's abilities.	"**Purpose:** Ensure that employee profiles include skills to support relevant job/course recommendations based on capabilities and expertise.   . Absence of skill data can lead to generic or irrelevant recommendations that don't reflect the employee's abilities.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Encourage employees to add skills via Profile Assistant. Enable skill inference from job titles."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	internal_mobility_recommendations	Internal Mobility Recommendations	Update	Internal Mobility Recommendations	
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have more than 3 skills	projects_with_multiple_skills_rule	Project definition → skills	Ensure that projects have atleast 3 relevant skills assigned to enable accurate and high-quality employee matches. <br><br><h5> Impact of failure</h5>. Limited skill data on projects can reduce matching precision, leading to inefficient resource allocation.	"**Purpose:** Ensure that projects have atleast 3 relevant skills assigned to enable accurate and high-quality employee matches.   . Limited skill data on projects can reduce matching precision, leading to inefficient resource allocation.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Add at least 3 skills to each project definition to improve matching accuracy."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	specific about the number of skills
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have ideal candidates	projects_with_ideal_candidates_rule	Project calibration → ideal_candidates	Ensure that projects have at least three ideal candidate assigned to improve the quality of employee matching. <br><br><h5> Impact of failure</h5>. Without an ideal candidate reference, matching may not reflect actual expectations for the role.	"**Purpose:** Ensure that projects have at least three ideal candidate assigned to improve the quality of employee matching.   . Without an ideal candidate reference, matching may not reflect actual expectations for the role.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Calibrate projects by adding at least 3 ideal candidates to guide employee recommendations."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	project_lead_recommendations	Project Lead Recommendations	Update	Project Lead Recommendations	logic update: Instead of one ideal candidate make it three
Talent Management Core	AI	More than {{ metric_data_json.min_threshold }}% projects must have location	projects_with_location_rule	Project definition → location	Ensure that projects have a location assigned to support relevant employee matches based on geography. <br><br><h5> Impact of failure</h5>. Employees may be recommended for projects in unsuitable locations, impacting assignment success.	"**Purpose:** Ensure that projects have a location assigned to support relevant employee matches based on geography.   . Employees may be recommended for projects in unsuitable locations, impacting assignment success.

**Impact:** Rule failure indicates data quality or configuration issues that may affect system functionality and reporting accuracy.

**To Fix:** Ensure all projects have a location assigned in the project definition."	www/data_audit/platform_health/data_health/product_data_health_evaluation_rules.py	project_lead_recommendations	Project Lead Recommendations	Keep as is	Project Lead Recommendations	
